date,gwdepth_ft
2026-02-06 21:30:00+00:00,104.1
2026-02-06 21:15:00+00:00,104.09
2026-02-06 21:00:00+00:00,104.09
2026-02-06 20:45:00+00:00,104.08
2026-02-06 20:30:00+00:00,104.08
2026-02-06 20:15:00+00:00,104.07
2026-02-06 20:00:00+00:00,104.07
2026-02-06 19:45:00+00:00,104.06
2026-02-06 19:30:00+00:00,104.06
2026-02-06 19:15:00+00:00,104.05
2026-02-06 19:00:00+00:00,104.05
2026-02-06 18:45:00+00:00,104.04
2026-02-06 18:30:00+00:00,104.04
2026-02-06 18:15:00+00:00,104.04
2026-02-06 18:00:00+00:00,104.03
2026-02-06 17:45:00+00:00,104.03
2026-02-06 17:30:00+00:00,104.03
2026-02-06 17:15:00+00:00,104.02
2026-02-06 17:00:00+00:00,104.02
2026-02-06 16:45:00+00:00,104.02
2026-02-06 16:30:00+00:00,104.02
2026-02-06 16:15:00+00:00,104.01
2026-02-06 16:00:00+00:00,104.01
2026-02-06 15:45:00+00:00,104.01
2026-02-06 15:30:00+00:00,104.01
2026-02-06 15:15:00+00:00,104
2026-02-06 15:00:00+00:00,104
2026-02-06 14:45:00+00:00,104
2026-02-06 14:30:00+00:00,104
2026-02-06 14:15:00+00:00,104
2026-02-06 14:00:00+00:00,103.99
2026-02-06 13:45:00+00:00,103.99
2026-02-06 13:30:00+00:00,103.99
2026-02-06 13:15:00+00:00,103.99
2026-02-06 13:00:00+00:00,103.99
2026-02-06 12:45:00+00:00,103.98
2026-02-06 12:30:00+00:00,103.98
2026-02-06 12:15:00+00:00,103.98
2026-02-06 12:00:00+00:00,103.98
2026-02-06 11:45:00+00:00,103.97
2026-02-06 11:30:00+00:00,103.97
2026-02-06 11:15:00+00:00,103.97
2026-02-06 11:00:00+00:00,103.96
2026-02-06 10:45:00+00:00,103.96
2026-02-06 10:30:00+00:00,103.96
2026-02-06 10:15:00+00:00,103.95
2026-02-06 10:00:00+00:00,103.95
2026-02-06 09:45:00+00:00,103.94
2026-02-06 09:30:00+00:00,103.94
2026-02-06 09:15:00+00:00,103.93
2026-02-06 09:00:00+00:00,103.92
2026-02-06 08:45:00+00:00,103.92
2026-02-06 08:30:00+00:00,103.91
2026-02-06 08:15:00+00:00,103.9
2026-02-06 08:00:00+00:00,103.9
2026-02-06 07:45:00+00:00,103.89
2026-02-06 07:30:00+00:00,103.88
2026-02-06 07:15:00+00:00,103.88
2026-02-06 07:00:00+00:00,103.87
2026-02-06 06:45:00+00:00,103.86
2026-02-06 06:30:00+00:00,103.86
2026-02-06 06:15:00+00:00,103.85
2026-02-06 06:00:00+00:00,103.84
2026-02-06 05:45:00+00:00,103.83
2026-02-06 05:30:00+00:00,103.83
2026-02-06 05:15:00+00:00,103.82
2026-02-06 05:00:00+00:00,103.81
2026-02-06 04:45:00+00:00,103.8
2026-02-06 04:30:00+00:00,103.79
2026-02-06 04:15:00+00:00,103.78
2026-02-06 04:00:00+00:00,103.77
2026-02-06 03:45:00+00:00,103.77
2026-02-06 03:30:00+00:00,103.76
2026-02-06 03:15:00+00:00,103.75
2026-02-06 03:00:00+00:00,103.74
2026-02-06 02:45:00+00:00,103.73
2026-02-06 02:30:00+00:00,103.72
2026-02-06 02:15:00+00:00,103.71
2026-02-06 02:00:00+00:00,103.71
2026-02-06 01:45:00+00:00,103.7
2026-02-06 01:30:00+00:00,103.69
2026-02-06 01:15:00+00:00,103.68
2026-02-06 01:00:00+00:00,103.67
2026-02-06 00:45:00+00:00,103.66
2026-02-06 00:30:00+00:00,103.65
2026-02-06 00:15:00+00:00,103.65
2026-02-06 00:00:00+00:00,103.64
2026-02-05 23:45:00+00:00,103.63
2026-02-05 23:30:00+00:00,103.62
2026-02-05 23:15:00+00:00,103.61
2026-02-05 23:00:00+00:00,103.6
2026-02-05 22:45:00+00:00,103.59
2026-02-05 22:30:00+00:00,103.58
2026-02-05 22:15:00+00:00,103.58
2026-02-05 22:00:00+00:00,103.57
2026-02-05 21:45:00+00:00,103.56
2026-02-05 21:30:00+00:00,103.55
2026-02-05 21:15:00+00:00,103.54
2026-02-05 21:00:00+00:00,103.53
2026-02-05 20:45:00+00:00,103.52
2026-02-05 20:30:00+00:00,103.51
2026-02-05 20:15:00+00:00,103.51
2026-02-05 20:00:00+00:00,103.5
2026-02-05 19:45:00+00:00,103.49
2026-02-05 19:30:00+00:00,103.48
2026-02-05 19:15:00+00:00,103.47
2026-02-05 19:00:00+00:00,103.46
2026-02-05 18:45:00+00:00,103.45
2026-02-05 18:30:00+00:00,103.44
2026-02-05 18:15:00+00:00,103.44
2026-02-05 18:00:00+00:00,103.43
2026-02-05 17:45:00+00:00,103.42
2026-02-05 17:30:00+00:00,103.41
2026-02-05 17:15:00+00:00,103.4
2026-02-05 17:00:00+00:00,103.39
2026-02-05 16:45:00+00:00,103.38
2026-02-05 16:30:00+00:00,103.37
2026-02-05 16:15:00+00:00,103.36
2026-02-05 16:00:00+00:00,103.36
2026-02-05 15:45:00+00:00,103.35
2026-02-05 15:30:00+00:00,103.34
2026-02-05 15:15:00+00:00,103.33
2026-02-05 15:00:00+00:00,103.32
2026-02-05 14:45:00+00:00,103.31
2026-02-05 14:30:00+00:00,103.3
2026-02-05 14:15:00+00:00,103.29
2026-02-05 14:00:00+00:00,103.28
2026-02-05 13:45:00+00:00,103.27
2026-02-05 13:30:00+00:00,103.26
2026-02-05 13:15:00+00:00,103.25
2026-02-05 13:00:00+00:00,103.24
2026-02-05 12:45:00+00:00,103.23
2026-02-05 12:30:00+00:00,103.22
2026-02-05 12:15:00+00:00,103.21
2026-02-05 12:00:00+00:00,103.2
2026-02-05 11:45:00+00:00,103.19
2026-02-05 11:30:00+00:00,103.18
2026-02-05 11:15:00+00:00,103.17
2026-02-05 11:00:00+00:00,103.16
2026-02-05 10:45:00+00:00,103.15
2026-02-05 10:30:00+00:00,103.14
2026-02-05 10:15:00+00:00,103.13
2026-02-05 10:00:00+00:00,103.12
2026-02-05 09:45:00+00:00,103.11
2026-02-05 09:30:00+00:00,103.1
2026-02-05 09:15:00+00:00,103.09
2026-02-05 09:00:00+00:00,103.08
2026-02-05 08:45:00+00:00,103.07
2026-02-05 08:30:00+00:00,103.06
2026-02-05 08:15:00+00:00,103.05
2026-02-05 08:00:00+00:00,103.04
2026-02-05 07:45:00+00:00,103.03
2026-02-05 07:30:00+00:00,103.02
2026-02-05 07:15:00+00:00,103.01
2026-02-05 07:00:00+00:00,103
2026-02-05 06:45:00+00:00,102.99
2026-02-05 06:30:00+00:00,102.98
2026-02-05 06:15:00+00:00,102.97
2026-02-05 06:00:00+00:00,102.96
2026-02-05 05:45:00+00:00,102.95
2026-02-05 05:30:00+00:00,102.94
2026-02-05 05:15:00+00:00,102.93
2026-02-05 05:00:00+00:00,102.92
2026-02-05 04:45:00+00:00,102.91
2026-02-05 04:30:00+00:00,102.9
2026-02-05 04:15:00+00:00,102.89
2026-02-05 04:00:00+00:00,102.88
2026-02-05 03:45:00+00:00,102.87
2026-02-05 03:30:00+00:00,102.86
2026-02-05 03:15:00+00:00,102.85
2026-02-05 03:00:00+00:00,102.84
2026-02-05 02:45:00+00:00,102.83
2026-02-05 02:30:00+00:00,102.82
2026-02-05 02:15:00+00:00,102.81
2026-02-05 02:00:00+00:00,102.8
2026-02-05 01:45:00+00:00,102.79
2026-02-05 01:30:00+00:00,102.78
2026-02-05 01:15:00+00:00,102.77
2026-02-05 01:00:00+00:00,102.76
2026-02-05 00:45:00+00:00,102.75
2026-02-05 00:30:00+00:00,102.74
2026-02-05 00:15:00+00:00,102.73
2026-02-05 00:00:00+00:00,102.72
2026-02-04 23:45:00+00:00,102.71
2026-02-04 23:30:00+00:00,102.7
2026-02-04 23:15:00+00:00,102.69
2026-02-04 23:00:00+00:00,102.68
2026-02-04 22:45:00+00:00,102.67
2026-02-04 22:30:00+00:00,102.66
2026-02-04 22:15:00+00:00,102.65
2026-02-04 22:00:00+00:00,102.64
2026-02-04 21:45:00+00:00,102.63
2026-02-04 21:30:00+00:00,102.62
2026-02-04 21:15:00+00:00,102.61
2026-02-04 21:00:00+00:00,102.61
2026-02-04 20:45:00+00:00,102.6
2026-02-04 20:30:00+00:00,102.59
2026-02-04 20:15:00+00:00,102.58
2026-02-04 20:00:00+00:00,102.57
2026-02-04 19:45:00+00:00,102.56
2026-02-04 19:30:00+00:00,102.55
2026-02-04 19:15:00+00:00,102.54
2026-02-04 19:00:00+00:00,102.53
2026-02-04 18:45:00+00:00,102.52
2026-02-04 18:30:00+00:00,102.51
2026-02-04 18:15:00+00:00,102.5
2026-02-04 18:00:00+00:00,102.49
2026-02-04 17:45:00+00:00,102.48
2026-02-04 17:30:00+00:00,102.47
2026-02-04 17:15:00+00:00,102.46
2026-02-04 17:00:00+00:00,102.45
2026-02-04 16:45:00+00:00,102.44
2026-02-04 16:30:00+00:00,102.43
2026-02-04 16:15:00+00:00,102.42
2026-02-04 16:00:00+00:00,102.41
2026-02-04 15:45:00+00:00,102.4
2026-02-04 15:30:00+00:00,102.39
2026-02-04 15:15:00+00:00,102.38
2026-02-04 15:00:00+00:00,102.37
2026-02-04 14:45:00+00:00,102.36
2026-02-04 14:30:00+00:00,102.35
2026-02-04 14:15:00+00:00,102.34
2026-02-04 14:00:00+00:00,102.33
2026-02-04 13:45:00+00:00,102.32
2026-02-04 13:30:00+00:00,102.31
2026-02-04 13:15:00+00:00,102.3
2026-02-04 13:00:00+00:00,102.29
2026-02-04 12:45:00+00:00,102.28
2026-02-04 12:30:00+00:00,102.27
2026-02-04 12:15:00+00:00,102.26
2026-02-04 12:00:00+00:00,102.25
2026-02-04 11:45:00+00:00,102.24
2026-02-04 11:30:00+00:00,102.23
2026-02-04 11:15:00+00:00,102.22
2026-02-04 11:00:00+00:00,102.21
2026-02-04 10:45:00+00:00,102.2
2026-02-04 10:30:00+00:00,102.19
2026-02-04 10:15:00+00:00,102.18
2026-02-04 10:00:00+00:00,102.17
2026-02-04 09:45:00+00:00,102.16
2026-02-04 09:30:00+00:00,102.15
2026-02-04 09:15:00+00:00,102.14
2026-02-04 09:00:00+00:00,102.14
2026-02-04 08:45:00+00:00,102.12
2026-02-04 08:30:00+00:00,102.12
2026-02-04 08:15:00+00:00,102.1
2026-02-04 08:00:00+00:00,102.09
2026-02-04 07:45:00+00:00,102.08
2026-02-04 07:30:00+00:00,102.07
2026-02-04 07:15:00+00:00,102.06
2026-02-04 07:00:00+00:00,102.05
2026-02-04 06:45:00+00:00,102.04
2026-02-04 06:30:00+00:00,102.03
2026-02-04 06:15:00+00:00,102.02
2026-02-04 06:00:00+00:00,102.01
2026-02-04 05:45:00+00:00,102
2026-02-04 05:30:00+00:00,101.98
2026-02-04 05:15:00+00:00,101.97
2026-02-04 05:00:00+00:00,101.96
2026-02-04 04:45:00+00:00,101.95
2026-02-04 04:30:00+00:00,101.94
2026-02-04 04:15:00+00:00,101.93
2026-02-04 04:00:00+00:00,101.91
2026-02-04 03:45:00+00:00,101.9
2026-02-04 03:30:00+00:00,101.89
2026-02-04 03:15:00+00:00,101.88
2026-02-04 03:00:00+00:00,101.87
2026-02-04 02:45:00+00:00,101.86
2026-02-04 02:30:00+00:00,101.85
2026-02-04 02:15:00+00:00,101.83
2026-02-04 02:00:00+00:00,101.82
2026-02-04 01:45:00+00:00,101.81
2026-02-04 01:30:00+00:00,101.8
2026-02-04 01:15:00+00:00,101.79
2026-02-04 01:00:00+00:00,101.78
2026-02-04 00:45:00+00:00,101.77
2026-02-04 00:30:00+00:00,101.76
2026-02-04 00:15:00+00:00,101.75
2026-02-04 00:00:00+00:00,101.74
2026-02-03 23:45:00+00:00,101.73
2026-02-03 23:30:00+00:00,101.72
2026-02-03 23:15:00+00:00,101.71
2026-02-03 23:00:00+00:00,101.7
2026-02-03 22:45:00+00:00,101.69
2026-02-03 22:30:00+00:00,101.68
2026-02-03 22:15:00+00:00,101.67
2026-02-03 22:00:00+00:00,101.66
2026-02-03 21:45:00+00:00,101.65
2026-02-03 21:30:00+00:00,101.64
2026-02-03 21:15:00+00:00,101.63
2026-02-03 21:00:00+00:00,101.62
2026-02-03 20:45:00+00:00,101.61
2026-02-03 20:30:00+00:00,101.6
2026-02-03 20:15:00+00:00,101.59
2026-02-03 20:00:00+00:00,101.58
2026-02-03 19:45:00+00:00,101.57
2026-02-03 19:30:00+00:00,101.57
2026-02-03 19:15:00+00:00,101.56
2026-02-03 19:00:00+00:00,101.55
2026-02-03 18:45:00+00:00,101.54
2026-02-03 18:30:00+00:00,101.53
2026-02-03 18:15:00+00:00,101.53
2026-02-03 18:00:00+00:00,101.52
2026-02-03 17:45:00+00:00,101.51
2026-02-03 17:30:00+00:00,101.5
2026-02-03 17:15:00+00:00,101.5
2026-02-03 17:00:00+00:00,101.49
2026-02-03 16:45:00+00:00,101.48
2026-02-03 16:30:00+00:00,101.47
2026-02-03 16:15:00+00:00,101.47
2026-02-03 16:00:00+00:00,101.46
2026-02-03 15:45:00+00:00,101.45
2026-02-03 15:30:00+00:00,101.44
2026-02-03 15:15:00+00:00,101.44
2026-02-03 15:00:00+00:00,101.43
2026-02-03 14:45:00+00:00,101.42
2026-02-03 14:30:00+00:00,101.42
2026-02-03 14:15:00+00:00,101.41
2026-02-03 14:00:00+00:00,101.4
2026-02-03 13:45:00+00:00,101.4
2026-02-03 13:30:00+00:00,101.39
2026-02-03 13:15:00+00:00,101.38
2026-02-03 13:00:00+00:00,101.38
